composition,adults,children,monthly_income,payment,benefit,hourly_wage
2 adults,2,0,4020,0,WIC,23.1
"2 adults, 1 child",2,1,4020,0,WIC,23.1
"2 adults, 2 children",2,2,4020,0,WIC,23.1
"2 adults, 3 children",2,3,4020,126.84,WIC,23.1
1 adult,1,0,4030,0,WIC,23.16
"1 adult, 1 child",1,1,4030,0,WIC,23.16
"1 adult, 2 children",1,2,4030,0,WIC,23.16
"1 adult, 3 children",1,3,4030,0,WIC,23.16
2 adults,2,0,4030,0,WIC,23.16
"2 adults, 1 child",2,1,4030,0,WIC,23.16
"2 adults, 2 children",2,2,4030,0,WIC,23.16
"2 adults, 3 children",2,3,4030,126.84,WIC,23.16
1 adult,1,0,4040,0,WIC,23.22
"1 adult, 1 child",1,1,4040,0,WIC,23.22
"1 adult, 2 children",1,2,4040,0,WIC,23.22
"1 adult, 3 children",1,3,4040,0,WIC,23.22
2 adults,2,0,4040,0,WIC,23.22
"2 adults, 1 child",2,1,4040,0,WIC,23.22
"2 adults, 2 children",2,2,4040,0,WIC,23.22
"2 adults, 3 children",2,3,4040,126.84,WIC,23.22
1 adult,1,0,4050,0,WIC,23.28
"1 adult, 1 child",1,1,4050,0,WIC,23.28
"1 adult, 2 children",1,2,4050,0,WIC,23.28
"1 adult, 3 children",1,3,4050,0,WIC,23.28
2 adults,2,0,4050,0,WIC,23.28
"2 adults, 1 child",2,1,4050,0,WIC,23.28
"2 adults, 2 children",2,2,4050,0,WIC,23.28
"2 adults, 3 children",2,3,4050,126.84,WIC,23.28
1 adult,1,0,4060,0,WIC,23.33
"1 adult, 1 child",1,1,4060,0,WIC,23.33
"1 adult, 2 children",1,2,4060,0,WIC,23.33
"1 adult, 3 children",1,3,4060,0,WIC,23.33
2 adults,2,0,4060,0,WIC,23.33
"2 adults, 1 child",2,1,4060,0,WIC,23.33
"2 adults, 2 children",2,2,4060,0,WIC,23.33
"2 adults, 3 children",2,3,4060,126.84,WIC,23.33
1 adult,1,0,4070,0,WIC,23.39
"1 adult, 1 child",1,1,4070,0,WIC,23.39
"1 adult, 2 children",1,2,4070,0,WIC,23.39
"1 adult, 3 children",1,3,4070,0,WIC,23.39
2 adults,2,0,4070,0,WIC,23.39
"2 adults, 1 child",2,1,4070,0,WIC,23.39
"2 adults, 2 children",2,2,4070,0,WIC,23.39
"2 adults, 3 children",2,3,4070,126.84,WIC,23.39
1 adult,1,0,4080,0,WIC,23.45
"1 adult, 1 child",1,1,4080,0,WIC,23.45
"1 adult, 2 children",1,2,4080,0,WIC,23.45
"1 adult, 3 children",1,3,4080,0,WIC,23.45
2 adults,2,0,4080,0,WIC,23.45
"2 adults, 1 child",2,1,4080,0,WIC,23.45
"2 adults, 2 children",2,2,4080,0,WIC,23.45
"2 adults, 3 children",2,3,4080,126.84,WIC,23.45
1 adult,1,0,4090,0,WIC,23.51
"1 adult, 1 child",1,1,4090,0,WIC,23.51
"1 adult, 2 children",1,2,4090,0,WIC,23.51
"1 adult, 3 children",1,3,4090,0,WIC,23.51
2 adults,2,0,4090,0,WIC,23.51
"2 adults, 1 child",2,1,4090,0,WIC,23.51
"2 adults, 2 children",2,2,4090,0,WIC,23.51
"2 adults, 3 children",2,3,4090,126.84,WIC,23.51
1 adult,1,0,4100,0,WIC,23.56
"1 adult, 1 child",1,1,4100,0,WIC,23.56
"1 adult, 2 children",1,2,4100,0,WIC,23.56
"1 adult, 3 children",1,3,4100,0,WIC,23.56
2 adults,2,0,4100,0,WIC,23.56
"2 adults, 1 child",2,1,4100,0,WIC,23.56
"2 adults, 2 children",2,2,4100,0,WIC,23.56
"2 adults, 3 children",2,3,4100,126.84,WIC,23.56
1 adult,1,0,4110,0,WIC,23.62
"1 adult, 1 child",1,1,4110,0,WIC,23.62
"1 adult, 2 children",1,2,4110,0,WIC,23.62
"1 adult, 3 children",1,3,4110,0,WIC,23.62
2 adults,2,0,4110,0,WIC,23.62
"2 adults, 1 child",2,1,4110,0,WIC,23.62
"2 adults, 2 children",2,2,4110,0,WIC,23.62
"2 adults, 3 children",2,3,4110,126.84,WIC,23.62
1 adult,1,0,4120,0,WIC,23.68
"1 adult, 1 child",1,1,4120,0,WIC,23.68
"1 adult, 2 children",1,2,4120,0,WIC,23.68
"1 adult, 3 children",1,3,4120,0,WIC,23.68
2 adults,2,0,4120,0,WIC,23.68
"2 adults, 1 child",2,1,4120,0,WIC,23.68
"2 adults, 2 children",2,2,4120,0,WIC,23.68
"2 adults, 3 children",2,3,4120,126.84,WIC,23.68
1 adult,1,0,4130,0,WIC,23.74
"1 adult, 1 child",1,1,4130,0,WIC,23.74
"1 adult, 2 children",1,2,4130,0,WIC,23.74
"1 adult, 3 children",1,3,4130,0,WIC,23.74
2 adults,2,0,4130,0,WIC,23.74
"2 adults, 1 child",2,1,4130,0,WIC,23.74
"2 adults, 2 children",2,2,4130,0,WIC,23.74
"2 adults, 3 children",2,3,4130,126.84,WIC,23.74
1 adult,1,0,4140,0,WIC,23.79
"1 adult, 1 child",1,1,4140,0,WIC,23.79
"1 adult, 2 children",1,2,4140,0,WIC,23.79
"1 adult, 3 children",1,3,4140,0,WIC,23.79
2 adults,2,0,4140,0,WIC,23.79
"2 adults, 1 child",2,1,4140,0,WIC,23.79
"2 adults, 2 children",2,2,4140,0,WIC,23.79
"2 adults, 3 children",2,3,4140,126.84,WIC,23.79
1 adult,1,0,4150,0,WIC,23.85
"1 adult, 1 child",1,1,4150,0,WIC,23.85
"1 adult, 2 children",1,2,4150,0,WIC,23.85
"1 adult, 3 children",1,3,4150,0,WIC,23.85
2 adults,2,0,4150,0,WIC,23.85
"2 adults, 1 child",2,1,4150,0,WIC,23.85
"2 adults, 2 children",2,2,4150,0,WIC,23.85
"2 adults, 3 children",2,3,4150,126.84,WIC,23.85
1 adult,1,0,4160,0,WIC,23.91
"1 adult, 1 child",1,1,4160,0,WIC,23.91
"1 adult, 2 children",1,2,4160,0,WIC,23.91
"1 adult, 3 children",1,3,4160,0,WIC,23.91
2 adults,2,0,4160,0,WIC,23.91
"2 adults, 1 child",2,1,4160,0,WIC,23.91
"2 adults, 2 children",2,2,4160,0,WIC,23.91
"2 adults, 3 children",2,3,4160,126.84,WIC,23.91
1 adult,1,0,4170,0,WIC,23.97
"1 adult, 1 child",1,1,4170,0,WIC,23.97
"1 adult, 2 children",1,2,4170,0,WIC,23.97
"1 adult, 3 children",1,3,4170,0,WIC,23.97
2 adults,2,0,4170,0,WIC,23.97
"2 adults, 1 child",2,1,4170,0,WIC,23.97
"2 adults, 2 children",2,2,4170,0,WIC,23.97
"2 adults, 3 children",2,3,4170,126.84,WIC,23.97
1 adult,1,0,4180,0,WIC,24.02
"1 adult, 1 child",1,1,4180,0,WIC,24.02
"1 adult, 2 children",1,2,4180,0,WIC,24.02
"1 adult, 3 children",1,3,4180,0,WIC,24.02
2 adults,2,0,4180,0,WIC,24.02
"2 adults, 1 child",2,1,4180,0,WIC,24.02
"2 adults, 2 children",2,2,4180,0,WIC,24.02
"2 adults, 3 children",2,3,4180,126.84,WIC,24.02
1 adult,1,0,4190,0,WIC,24.08
"1 adult, 1 child",1,1,4190,0,WIC,24.08
"1 adult, 2 children",1,2,4190,0,WIC,24.08
"1 adult, 3 children",1,3,4190,0,WIC,24.08
2 adults,2,0,4190,0,WIC,24.08
"2 adults, 1 child",2,1,4190,0,WIC,24.08
"2 adults, 2 children",2,2,4190,0,WIC,24.08
"2 adults, 3 children",2,3,4190,126.84,WIC,24.08
1 adult,1,0,4200,0,WIC,24.14
"1 adult, 1 child",1,1,4200,0,WIC,24.14
"1 adult, 2 children",1,2,4200,0,WIC,24.14
"1 adult, 3 children",1,3,4200,0,WIC,24.14
2 adults,2,0,4200,0,WIC,24.14
"2 adults, 1 child",2,1,4200,0,WIC,24.14
"2 adults, 2 children",2,2,4200,0,WIC,24.14
"2 adults, 3 children",2,3,4200,126.84,WIC,24.14
1 adult,1,0,4210,0,WIC,24.2
"1 adult, 1 child",1,1,4210,0,WIC,24.2
"1 adult, 2 children",1,2,4210,0,WIC,24.2
"1 adult, 3 children",1,3,4210,0,WIC,24.2
2 adults,2,0,4210,0,WIC,24.2
"2 adults, 1 child",2,1,4210,0,WIC,24.2
"2 adults, 2 children",2,2,4210,0,WIC,24.2
"2 adults, 3 children",2,3,4210,126.84,WIC,24.2
1 adult,1,0,4220,0,WIC,24.25
"1 adult, 1 child",1,1,4220,0,WIC,24.25
"1 adult, 2 children",1,2,4220,0,WIC,24.25
"1 adult, 3 children",1,3,4220,0,WIC,24.25
2 adults,2,0,4220,0,WIC,24.25
"2 adults, 1 child",2,1,4220,0,WIC,24.25
"2 adults, 2 children",2,2,4220,0,WIC,24.25
"2 adults, 3 children",2,3,4220,126.84,WIC,24.25
1 adult,1,0,4230,0,WIC,24.31
"1 adult, 1 child",1,1,4230,0,WIC,24.31
"1 adult, 2 children",1,2,4230,0,WIC,24.31
"1 adult, 3 children",1,3,4230,0,WIC,24.31
2 adults,2,0,4230,0,WIC,24.31
"2 adults, 1 child",2,1,4230,0,WIC,24.31
"2 adults, 2 children",2,2,4230,0,WIC,24.31
"2 adults, 3 children",2,3,4230,126.84,WIC,24.31
1 adult,1,0,4240,0,WIC,24.37
"1 adult, 1 child",1,1,4240,0,WIC,24.37
"1 adult, 2 children",1,2,4240,0,WIC,24.37
"1 adult, 3 children",1,3,4240,0,WIC,24.37
2 adults,2,0,4240,0,WIC,24.37
"2 adults, 1 child",2,1,4240,0,WIC,24.37
"2 adults, 2 children",2,2,4240,0,WIC,24.37
"2 adults, 3 children",2,3,4240,126.84,WIC,24.37
1 adult,1,0,4250,0,WIC,24.43
"1 adult, 1 child",1,1,4250,0,WIC,24.43
"1 adult, 2 children",1,2,4250,0,WIC,24.43
"1 adult, 3 children",1,3,4250,0,WIC,24.43
2 adults,2,0,4250,0,WIC,24.43
"2 adults, 1 child",2,1,4250,0,WIC,24.43
"2 adults, 2 children",2,2,4250,0,WIC,24.43
"2 adults, 3 children",2,3,4250,126.84,WIC,24.43
1 adult,1,0,4260,0,WIC,24.48
"1 adult, 1 child",1,1,4260,0,WIC,24.48
"1 adult, 2 children",1,2,4260,0,WIC,24.48
"1 adult, 3 children",1,3,4260,0,WIC,24.48
2 adults,2,0,4260,0,WIC,24.48
"2 adults, 1 child",2,1,4260,0,WIC,24.48
"2 adults, 2 children",2,2,4260,0,WIC,24.48
"2 adults, 3 children",2,3,4260,126.84,WIC,24.48
1 adult,1,0,4270,0,WIC,24.54
"1 adult, 1 child",1,1,4270,0,WIC,24.54
"1 adult, 2 children",1,2,4270,0,WIC,24.54
"1 adult, 3 children",1,3,4270,0,WIC,24.54
2 adults,2,0,4270,0,WIC,24.54
"2 adults, 1 child",2,1,4270,0,WIC,24.54
"2 adults, 2 children",2,2,4270,0,WIC,24.54
"2 adults, 3 children",2,3,4270,126.84,WIC,24.54
1 adult,1,0,4280,0,WIC,24.6
"1 adult, 1 child",1,1,4280,0,WIC,24.6
"1 adult, 2 children",1,2,4280,0,WIC,24.6
"1 adult, 3 children",1,3,4280,0,WIC,24.6
2 adults,2,0,4280,0,WIC,24.6
"2 adults, 1 child",2,1,4280,0,WIC,24.6
"2 adults, 2 children",2,2,4280,0,WIC,24.6
"2 adults, 3 children",2,3,4280,126.84,WIC,24.6
1 adult,1,0,4290,0,WIC,24.66
"1 adult, 1 child",1,1,4290,0,WIC,24.66
"1 adult, 2 children",1,2,4290,0,WIC,24.66
"1 adult, 3 children",1,3,4290,0,WIC,24.66
2 adults,2,0,4290,0,WIC,24.66
"2 adults, 1 child",2,1,4290,0,WIC,24.66
"2 adults, 2 children",2,2,4290,0,WIC,24.66
"2 adults, 3 children",2,3,4290,126.84,WIC,24.66
1 adult,1,0,4300,0,WIC,24.71
"1 adult, 1 child",1,1,4300,0,WIC,24.71
"1 adult, 2 children",1,2,4300,0,WIC,24.71
"1 adult, 3 children",1,3,4300,0,WIC,24.71
2 adults,2,0,4300,0,WIC,24.71
"2 adults, 1 child",2,1,4300,0,WIC,24.71
"2 adults, 2 children",2,2,4300,0,WIC,24.71
"2 adults, 3 children",2,3,4300,126.84,WIC,24.71
1 adult,1,0,4310,0,WIC,24.77
"1 adult, 1 child",1,1,4310,0,WIC,24.77
"1 adult, 2 children",1,2,4310,0,WIC,24.77
"1 adult, 3 children",1,3,4310,0,WIC,24.77
2 adults,2,0,4310,0,WIC,24.77
"2 adults, 1 child",2,1,4310,0,WIC,24.77
"2 adults, 2 children",2,2,4310,0,WIC,24.77
"2 adults, 3 children",2,3,4310,126.84,WIC,24.77
1 adult,1,0,4320,0,WIC,24.83
"1 adult, 1 child",1,1,4320,0,WIC,24.83
"1 adult, 2 children",1,2,4320,0,WIC,24.83
"1 adult, 3 children",1,3,4320,0,WIC,24.83
2 adults,2,0,4320,0,WIC,24.83
"2 adults, 1 child",2,1,4320,0,WIC,24.83
"2 adults, 2 children",2,2,4320,0,WIC,24.83
"2 adults, 3 children",2,3,4320,126.84,WIC,24.83
1 adult,1,0,4330,0,WIC,24.89
"1 adult, 1 child",1,1,4330,0,WIC,24.89
"1 adult, 2 children",1,2,4330,0,WIC,24.89
"1 adult, 3 children",1,3,4330,0,WIC,24.89
2 adults,2,0,4330,0,WIC,24.89
"2 adults, 1 child",2,1,4330,0,WIC,24.89
"2 adults, 2 children",2,2,4330,0,WIC,24.89
"2 adults, 3 children",2,3,4330,126.84,WIC,24.89
1 adult,1,0,4340,0,WIC,24.94
"1 adult, 1 child",1,1,4340,0,WIC,24.94
"1 adult, 2 children",1,2,4340,0,WIC,24.94
"1 adult, 3 children",1,3,4340,0,WIC,24.94
2 adults,2,0,4340,0,WIC,24.94
"2 adults, 1 child",2,1,4340,0,WIC,24.94
"2 adults, 2 children",2,2,4340,0,WIC,24.94
"2 adults, 3 children",2,3,4340,126.84,WIC,24.94
1 adult,1,0,4350,0,WIC,25
"1 adult, 1 child",1,1,4350,0,WIC,25
"1 adult, 2 children",1,2,4350,0,WIC,25
"1 adult, 3 children",1,3,4350,0,WIC,25
2 adults,2,0,4350,0,WIC,25
"2 adults, 1 child",2,1,4350,0,WIC,25
"2 adults, 2 children",2,2,4350,0,WIC,25
"2 adults, 3 children",2,3,4350,126.84,WIC,25
1 adult,1,0,4360,0,WIC,25.06
"1 adult, 1 child",1,1,4360,0,WIC,25.06
"1 adult, 2 children",1,2,4360,0,WIC,25.06
"1 adult, 3 children",1,3,4360,0,WIC,25.06
2 adults,2,0,4360,0,WIC,25.06
"2 adults, 1 child",2,1,4360,0,WIC,25.06
"2 adults, 2 children",2,2,4360,0,WIC,25.06
"2 adults, 3 children",2,3,4360,126.84,WIC,25.06
1 adult,1,0,4370,0,WIC,25.11
"1 adult, 1 child",1,1,4370,0,WIC,25.11
"1 adult, 2 children",1,2,4370,0,WIC,25.11
"1 adult, 3 children",1,3,4370,0,WIC,25.11
2 adults,2,0,4370,0,WIC,25.11
"2 adults, 1 child",2,1,4370,0,WIC,25.11
"2 adults, 2 children",2,2,4370,0,WIC,25.11
"2 adults, 3 children",2,3,4370,126.84,WIC,25.11
1 adult,1,0,4380,0,WIC,25.17
"1 adult, 1 child",1,1,4380,0,WIC,25.17
"1 adult, 2 children",1,2,4380,0,WIC,25.17
"1 adult, 3 children",1,3,4380,0,WIC,25.17
2 adults,2,0,4380,0,WIC,25.17
"2 adults, 1 child",2,1,4380,0,WIC,25.17
"2 adults, 2 children",2,2,4380,0,WIC,25.17
"2 adults, 3 children",2,3,4380,126.84,WIC,25.17
1 adult,1,0,4390,0,WIC,25.23
"1 adult, 1 child",1,1,4390,0,WIC,25.23
"1 adult, 2 children",1,2,4390,0,WIC,25.23
"1 adult, 3 children",1,3,4390,0,WIC,25.23
2 adults,2,0,4390,0,WIC,25.23
"2 adults, 1 child",2,1,4390,0,WIC,25.23
"2 adults, 2 children",2,2,4390,0,WIC,25.23
"2 adults, 3 children",2,3,4390,126.84,WIC,25.23
1 adult,1,0,4400,0,WIC,25.29
"1 adult, 1 child",1,1,4400,0,WIC,25.29
"1 adult, 2 children",1,2,4400,0,WIC,25.29
"1 adult, 3 children",1,3,4400,0,WIC,25.29
2 adults,2,0,4400,0,WIC,25.29
"2 adults, 1 child",2,1,4400,0,WIC,25.29
"2 adults, 2 children",2,2,4400,0,WIC,25.29
"2 adults, 3 children",2,3,4400,126.84,WIC,25.29
1 adult,1,0,4410,0,WIC,25.34
"1 adult, 1 child",1,1,4410,0,WIC,25.34
"1 adult, 2 children",1,2,4410,0,WIC,25.34
"1 adult, 3 children",1,3,4410,0,WIC,25.34
2 adults,2,0,4410,0,WIC,25.34
"2 adults, 1 child",2,1,4410,0,WIC,25.34
"2 adults, 2 children",2,2,4410,0,WIC,25.34
"2 adults, 3 children",2,3,4410,126.84,WIC,25.34
1 adult,1,0,4420,0,WIC,25.4
"1 adult, 1 child",1,1,4420,0,WIC,25.4
"1 adult, 2 children",1,2,4420,0,WIC,25.4
"1 adult, 3 children",1,3,4420,0,WIC,25.4
2 adults,2,0,4420,0,WIC,25.4
"2 adults, 1 child",2,1,4420,0,WIC,25.4
"2 adults, 2 children",2,2,4420,0,WIC,25.4
"2 adults, 3 children",2,3,4420,126.84,WIC,25.4
1 adult,1,0,4430,0,WIC,25.46
"1 adult, 1 child",1,1,4430,0,WIC,25.46
"1 adult, 2 children",1,2,4430,0,WIC,25.46
"1 adult, 3 children",1,3,4430,0,WIC,25.46
2 adults,2,0,4430,0,WIC,25.46
"2 adults, 1 child",2,1,4430,0,WIC,25.46
"2 adults, 2 children",2,2,4430,0,WIC,25.46
"2 adults, 3 children",2,3,4430,126.84,WIC,25.46
1 adult,1,0,4440,0,WIC,25.52
"1 adult, 1 child",1,1,4440,0,WIC,25.52
"1 adult, 2 children",1,2,4440,0,WIC,25.52
"1 adult, 3 children",1,3,4440,0,WIC,25.52
2 adults,2,0,4440,0,WIC,25.52
"2 adults, 1 child",2,1,4440,0,WIC,25.52
"2 adults, 2 children",2,2,4440,0,WIC,25.52
"2 adults, 3 children",2,3,4440,126.84,WIC,25.52
1 adult,1,0,4450,0,WIC,25.57
"1 adult, 1 child",1,1,4450,0,WIC,25.57
"1 adult, 2 children",1,2,4450,0,WIC,25.57
"1 adult, 3 children",1,3,4450,0,WIC,25.57
2 adults,2,0,4450,0,WIC,25.57
"2 adults, 1 child",2,1,4450,0,WIC,25.57
"2 adults, 2 children",2,2,4450,0,WIC,25.57
"2 adults, 3 children",2,3,4450,126.84,WIC,25.57
1 adult,1,0,4460,0,WIC,25.63
"1 adult, 1 child",1,1,4460,0,WIC,25.63
"1 adult, 2 children",1,2,4460,0,WIC,25.63
"1 adult, 3 children",1,3,4460,0,WIC,25.63
2 adults,2,0,4460,0,WIC,25.63
"2 adults, 1 child",2,1,4460,0,WIC,25.63
"2 adults, 2 children",2,2,4460,0,WIC,25.63
"2 adults, 3 children",2,3,4460,126.84,WIC,25.63
1 adult,1,0,4470,0,WIC,25.69
"1 adult, 1 child",1,1,4470,0,WIC,25.69
"1 adult, 2 children",1,2,4470,0,WIC,25.69
"1 adult, 3 children",1,3,4470,0,WIC,25.69
2 adults,2,0,4470,0,WIC,25.69
"2 adults, 1 child",2,1,4470,0,WIC,25.69
"2 adults, 2 children",2,2,4470,0,WIC,25.69
"2 adults, 3 children",2,3,4470,126.84,WIC,25.69
1 adult,1,0,4480,0,WIC,25.75
"1 adult, 1 child",1,1,4480,0,WIC,25.75
"1 adult, 2 children",1,2,4480,0,WIC,25.75
"1 adult, 3 children",1,3,4480,0,WIC,25.75
2 adults,2,0,4480,0,WIC,25.75
"2 adults, 1 child",2,1,4480,0,WIC,25.75
"2 adults, 2 children",2,2,4480,0,WIC,25.75
"2 adults, 3 children",2,3,4480,126.84,WIC,25.75
1 adult,1,0,4490,0,WIC,25.8
"1 adult, 1 child",1,1,4490,0,WIC,25.8
"1 adult, 2 children",1,2,4490,0,WIC,25.8
"1 adult, 3 children",1,3,4490,0,WIC,25.8
2 adults,2,0,4490,0,WIC,25.8
"2 adults, 1 child",2,1,4490,0,WIC,25.8
"2 adults, 2 children",2,2,4490,0,WIC,25.8
"2 adults, 3 children",2,3,4490,126.84,WIC,25.8
1 adult,1,0,4500,0,WIC,25.86
"1 adult, 1 child",1,1,4500,0,WIC,25.86
"1 adult, 2 children",1,2,4500,0,WIC,25.86
"1 adult, 3 children",1,3,4500,0,WIC,25.86
2 adults,2,0,4500,0,WIC,25.86
"2 adults, 1 child",2,1,4500,0,WIC,25.86
"2 adults, 2 children",2,2,4500,0,WIC,25.86
"2 adults, 3 children",2,3,4500,126.84,WIC,25.86
1 adult,1,0,4510,0,WIC,25.92
"1 adult, 1 child",1,1,4510,0,WIC,25.92
"1 adult, 2 children",1,2,4510,0,WIC,25.92
"1 adult, 3 children",1,3,4510,0,WIC,25.92
2 adults,2,0,4510,0,WIC,25.92
"2 adults, 1 child",2,1,4510,0,WIC,25.92
"2 adults, 2 children",2,2,4510,0,WIC,25.92
"2 adults, 3 children",2,3,4510,126.84,WIC,25.92
1 adult,1,0,4520,0,WIC,25.98
"1 adult, 1 child",1,1,4520,0,WIC,25.98
"1 adult, 2 children",1,2,4520,0,WIC,25.98
"1 adult, 3 children",1,3,4520,0,WIC,25.98
2 adults,2,0,4520,0,WIC,25.98
"2 adults, 1 child",2,1,4520,0,WIC,25.98
"2 adults, 2 children",2,2,4520,0,WIC,25.98
"2 adults, 3 children",2,3,4520,126.84,WIC,25.98
1 adult,1,0,4530,0,WIC,26.03
"1 adult, 1 child",1,1,4530,0,WIC,26.03
"1 adult, 2 children",1,2,4530,0,WIC,26.03
"1 adult, 3 children",1,3,4530,0,WIC,26.03
2 adults,2,0,4530,0,WIC,26.03
"2 adults, 1 child",2,1,4530,0,WIC,26.03
"2 adults, 2 children",2,2,4530,0,WIC,26.03
"2 adults, 3 children",2,3,4530,126.84,WIC,26.03
1 adult,1,0,4540,0,WIC,26.09
"1 adult, 1 child",1,1,4540,0,WIC,26.09
"1 adult, 2 children",1,2,4540,0,WIC,26.09
"1 adult, 3 children",1,3,4540,0,WIC,26.09
2 adults,2,0,4540,0,WIC,26.09
"2 adults, 1 child",2,1,4540,0,WIC,26.09
"2 adults, 2 children",2,2,4540,0,WIC,26.09
"2 adults, 3 children",2,3,4540,126.84,WIC,26.09
1 adult,1,0,4550,0,WIC,26.15
"1 adult, 1 child",1,1,4550,0,WIC,26.15
"1 adult, 2 children",1,2,4550,0,WIC,26.15
"1 adult, 3 children",1,3,4550,0,WIC,26.15
2 adults,2,0,4550,0,WIC,26.15
"2 adults, 1 child",2,1,4550,0,WIC,26.15
"2 adults, 2 children",2,2,4550,0,WIC,26.15
"2 adults, 3 children",2,3,4550,126.84,WIC,26.15
1 adult,1,0,4560,0,WIC,26.21
"1 adult, 1 child",1,1,4560,0,WIC,26.21
"1 adult, 2 children",1,2,4560,0,WIC,26.21
"1 adult, 3 children",1,3,4560,0,WIC,26.21
2 adults,2,0,4560,0,WIC,26.21
"2 adults, 1 child",2,1,4560,0,WIC,26.21
"2 adults, 2 children",2,2,4560,0,WIC,26.21
"2 adults, 3 children",2,3,4560,126.84,WIC,26.21
1 adult,1,0,4570,0,WIC,26.26
"1 adult, 1 child",1,1,4570,0,WIC,26.26
"1 adult, 2 children",1,2,4570,0,WIC,26.26
"1 adult, 3 children",1,3,4570,0,WIC,26.26
2 adults,2,0,4570,0,WIC,26.26
"2 adults, 1 child",2,1,4570,0,WIC,26.26
"2 adults, 2 children",2,2,4570,0,WIC,26.26
"2 adults, 3 children",2,3,4570,126.84,WIC,26.26
1 adult,1,0,4580,0,WIC,26.32
"1 adult, 1 child",1,1,4580,0,WIC,26.32
"1 adult, 2 children",1,2,4580,0,WIC,26.32
"1 adult, 3 children",1,3,4580,0,WIC,26.32
2 adults,2,0,4580,0,WIC,26.32
"2 adults, 1 child",2,1,4580,0,WIC,26.32
"2 adults, 2 children",2,2,4580,0,WIC,26.32
"2 adults, 3 children",2,3,4580,126.84,WIC,26.32
1 adult,1,0,4590,0,WIC,26.38
"1 adult, 1 child",1,1,4590,0,WIC,26.38
"1 adult, 2 children",1,2,4590,0,WIC,26.38
"1 adult, 3 children",1,3,4590,0,WIC,26.38
2 adults,2,0,4590,0,WIC,26.38
"2 adults, 1 child",2,1,4590,0,WIC,26.38
"2 adults, 2 children",2,2,4590,0,WIC,26.38
"2 adults, 3 children",2,3,4590,126.84,WIC,26.38
1 adult,1,0,4600,0,WIC,26.44
"1 adult, 1 child",1,1,4600,0,WIC,26.44
"1 adult, 2 children",1,2,4600,0,WIC,26.44
"1 adult, 3 children",1,3,4600,0,WIC,26.44
2 adults,2,0,4600,0,WIC,26.44
"2 adults, 1 child",2,1,4600,0,WIC,26.44
"2 adults, 2 children",2,2,4600,0,WIC,26.44
"2 adults, 3 children",2,3,4600,126.84,WIC,26.44
1 adult,1,0,4610,0,WIC,26.49
"1 adult, 1 child",1,1,4610,0,WIC,26.49
"1 adult, 2 children",1,2,4610,0,WIC,26.49
"1 adult, 3 children",1,3,4610,0,WIC,26.49
2 adults,2,0,4610,0,WIC,26.49
"2 adults, 1 child",2,1,4610,0,WIC,26.49
"2 adults, 2 children",2,2,4610,0,WIC,26.49
"2 adults, 3 children",2,3,4610,126.84,WIC,26.49
1 adult,1,0,4620,0,WIC,26.55
"1 adult, 1 child",1,1,4620,0,WIC,26.55
"1 adult, 2 children",1,2,4620,0,WIC,26.55
"1 adult, 3 children",1,3,4620,0,WIC,26.55
2 adults,2,0,4620,0,WIC,26.55
"2 adults, 1 child",2,1,4620,0,WIC,26.55
"2 adults, 2 children",2,2,4620,0,WIC,26.55
"2 adults, 3 children",2,3,4620,126.84,WIC,26.55
1 adult,1,0,4630,0,WIC,26.61
"1 adult, 1 child",1,1,4630,0,WIC,26.61
"1 adult, 2 children",1,2,4630,0,WIC,26.61
"1 adult, 3 children",1,3,4630,0,WIC,26.61
2 adults,2,0,4630,0,WIC,26.61
"2 adults, 1 child",2,1,4630,0,WIC,26.61
"2 adults, 2 children",2,2,4630,0,WIC,26.61
"2 adults, 3 children",2,3,4630,126.84,WIC,26.61
1 adult,1,0,4640,0,WIC,26.67
"1 adult, 1 child",1,1,4640,0,WIC,26.67
"1 adult, 2 children",1,2,4640,0,WIC,26.67
"1 adult, 3 children",1,3,4640,0,WIC,26.67
2 adults,2,0,4640,0,WIC,26.67
"2 adults, 1 child",2,1,4640,0,WIC,26.67
"2 adults, 2 children",2,2,4640,0,WIC,26.67
"2 adults, 3 children",2,3,4640,126.84,WIC,26.67
1 adult,1,0,4650,0,WIC,26.72
"1 adult, 1 child",1,1,4650,0,WIC,26.72
"1 adult, 2 children",1,2,4650,0,WIC,26.72
"1 adult, 3 children",1,3,4650,0,WIC,26.72
2 adults,2,0,4650,0,WIC,26.72
"2 adults, 1 child",2,1,4650,0,WIC,26.72
"2 adults, 2 children",2,2,4650,0,WIC,26.72
"2 adults, 3 children",2,3,4650,126.84,WIC,26.72
1 adult,1,0,4660,0,WIC,26.78
"1 adult, 1 child",1,1,4660,0,WIC,26.78
"1 adult, 2 children",1,2,4660,0,WIC,26.78
"1 adult, 3 children",1,3,4660,0,WIC,26.78
2 adults,2,0,4660,0,WIC,26.78
"2 adults, 1 child",2,1,4660,0,WIC,26.78
"2 adults, 2 children",2,2,4660,0,WIC,26.78
"2 adults, 3 children",2,3,4660,0,WIC,26.78
1 adult,1,0,4670,0,WIC,26.84
"1 adult, 1 child",1,1,4670,0,WIC,26.84
"1 adult, 2 children",1,2,4670,0,WIC,26.84
"1 adult, 3 children",1,3,4670,0,WIC,26.84
2 adults,2,0,4670,0,WIC,26.84
"2 adults, 1 child",2,1,4670,0,WIC,26.84
"2 adults, 2 children",2,2,4670,0,WIC,26.84
