composition,adults,children,monthly_income,payment,benefit
"2 adults, 2 children",2,2,9500,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9500,0,NC Medicaid / Health Choice
1 adult,1,0,9510,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9510,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9510,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9510,0,NC Medicaid / Health Choice
2 adults,2,0,9510,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9510,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9510,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9510,0,NC Medicaid / Health Choice
1 adult,1,0,9520,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9520,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9520,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9520,0,NC Medicaid / Health Choice
2 adults,2,0,9520,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9520,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9520,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9520,0,NC Medicaid / Health Choice
1 adult,1,0,9530,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9530,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9530,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9530,0,NC Medicaid / Health Choice
2 adults,2,0,9530,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9530,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9530,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9530,0,NC Medicaid / Health Choice
1 adult,1,0,9540,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9540,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9540,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9540,0,NC Medicaid / Health Choice
2 adults,2,0,9540,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9540,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9540,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9540,0,NC Medicaid / Health Choice
1 adult,1,0,9550,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9550,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9550,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9550,0,NC Medicaid / Health Choice
2 adults,2,0,9550,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9550,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9550,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9550,0,NC Medicaid / Health Choice
1 adult,1,0,9560,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9560,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9560,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9560,0,NC Medicaid / Health Choice
2 adults,2,0,9560,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9560,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9560,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9560,0,NC Medicaid / Health Choice
1 adult,1,0,9570,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9570,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9570,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9570,0,NC Medicaid / Health Choice
2 adults,2,0,9570,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9570,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9570,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9570,0,NC Medicaid / Health Choice
1 adult,1,0,9580,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9580,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9580,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9580,0,NC Medicaid / Health Choice
2 adults,2,0,9580,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9580,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9580,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9580,0,NC Medicaid / Health Choice
1 adult,1,0,9590,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9590,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9590,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9590,0,NC Medicaid / Health Choice
2 adults,2,0,9590,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9590,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9590,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9590,0,NC Medicaid / Health Choice
1 adult,1,0,9600,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9600,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9600,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9600,0,NC Medicaid / Health Choice
2 adults,2,0,9600,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9600,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9600,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9600,0,NC Medicaid / Health Choice
1 adult,1,0,9610,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9610,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9610,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9610,0,NC Medicaid / Health Choice
2 adults,2,0,9610,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9610,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9610,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9610,0,NC Medicaid / Health Choice
1 adult,1,0,9620,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9620,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9620,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9620,0,NC Medicaid / Health Choice
2 adults,2,0,9620,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9620,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9620,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9620,0,NC Medicaid / Health Choice
1 adult,1,0,9630,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9630,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9630,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9630,0,NC Medicaid / Health Choice
2 adults,2,0,9630,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9630,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9630,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9630,0,NC Medicaid / Health Choice
1 adult,1,0,9640,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9640,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9640,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9640,0,NC Medicaid / Health Choice
2 adults,2,0,9640,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9640,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9640,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9640,0,NC Medicaid / Health Choice
1 adult,1,0,9650,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9650,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9650,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9650,0,NC Medicaid / Health Choice
2 adults,2,0,9650,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9650,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9650,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9650,0,NC Medicaid / Health Choice
1 adult,1,0,9660,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9660,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9660,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9660,0,NC Medicaid / Health Choice
2 adults,2,0,9660,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9660,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9660,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9660,0,NC Medicaid / Health Choice
1 adult,1,0,9670,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9670,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9670,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9670,0,NC Medicaid / Health Choice
2 adults,2,0,9670,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9670,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9670,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9670,0,NC Medicaid / Health Choice
1 adult,1,0,9680,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9680,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9680,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9680,0,NC Medicaid / Health Choice
2 adults,2,0,9680,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9680,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9680,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9680,0,NC Medicaid / Health Choice
1 adult,1,0,9690,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9690,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9690,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9690,0,NC Medicaid / Health Choice
2 adults,2,0,9690,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9690,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9690,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9690,0,NC Medicaid / Health Choice
1 adult,1,0,9700,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9700,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9700,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9700,0,NC Medicaid / Health Choice
2 adults,2,0,9700,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9700,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9700,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9700,0,NC Medicaid / Health Choice
1 adult,1,0,9710,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9710,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9710,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9710,0,NC Medicaid / Health Choice
2 adults,2,0,9710,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9710,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9710,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9710,0,NC Medicaid / Health Choice
1 adult,1,0,9720,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9720,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9720,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9720,0,NC Medicaid / Health Choice
2 adults,2,0,9720,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9720,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9720,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9720,0,NC Medicaid / Health Choice
1 adult,1,0,9730,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9730,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9730,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9730,0,NC Medicaid / Health Choice
2 adults,2,0,9730,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9730,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9730,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9730,0,NC Medicaid / Health Choice
1 adult,1,0,9740,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9740,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9740,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9740,0,NC Medicaid / Health Choice
2 adults,2,0,9740,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9740,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9740,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9740,0,NC Medicaid / Health Choice
1 adult,1,0,9750,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9750,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9750,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9750,0,NC Medicaid / Health Choice
2 adults,2,0,9750,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9750,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9750,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9750,0,NC Medicaid / Health Choice
1 adult,1,0,9760,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9760,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9760,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9760,0,NC Medicaid / Health Choice
2 adults,2,0,9760,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9760,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9760,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9760,0,NC Medicaid / Health Choice
1 adult,1,0,9770,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9770,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9770,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9770,0,NC Medicaid / Health Choice
2 adults,2,0,9770,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9770,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9770,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9770,0,NC Medicaid / Health Choice
1 adult,1,0,9780,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9780,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9780,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9780,0,NC Medicaid / Health Choice
2 adults,2,0,9780,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9780,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9780,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9780,0,NC Medicaid / Health Choice
1 adult,1,0,9790,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9790,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9790,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9790,0,NC Medicaid / Health Choice
2 adults,2,0,9790,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9790,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9790,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9790,0,NC Medicaid / Health Choice
1 adult,1,0,9800,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9800,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9800,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9800,0,NC Medicaid / Health Choice
2 adults,2,0,9800,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9800,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9800,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9800,0,NC Medicaid / Health Choice
1 adult,1,0,9810,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9810,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9810,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9810,0,NC Medicaid / Health Choice
2 adults,2,0,9810,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9810,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9810,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9810,0,NC Medicaid / Health Choice
1 adult,1,0,9820,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9820,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9820,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9820,0,NC Medicaid / Health Choice
2 adults,2,0,9820,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9820,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9820,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9820,0,NC Medicaid / Health Choice
1 adult,1,0,9830,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9830,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9830,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9830,0,NC Medicaid / Health Choice
2 adults,2,0,9830,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9830,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9830,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9830,0,NC Medicaid / Health Choice
1 adult,1,0,9840,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9840,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9840,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9840,0,NC Medicaid / Health Choice
2 adults,2,0,9840,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9840,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9840,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9840,0,NC Medicaid / Health Choice
1 adult,1,0,9850,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9850,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9850,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9850,0,NC Medicaid / Health Choice
2 adults,2,0,9850,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9850,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9850,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9850,0,NC Medicaid / Health Choice
1 adult,1,0,9860,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9860,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9860,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9860,0,NC Medicaid / Health Choice
2 adults,2,0,9860,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9860,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9860,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9860,0,NC Medicaid / Health Choice
1 adult,1,0,9870,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9870,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9870,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9870,0,NC Medicaid / Health Choice
2 adults,2,0,9870,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9870,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9870,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9870,0,NC Medicaid / Health Choice
1 adult,1,0,9880,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9880,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9880,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9880,0,NC Medicaid / Health Choice
2 adults,2,0,9880,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9880,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9880,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9880,0,NC Medicaid / Health Choice
1 adult,1,0,9890,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9890,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9890,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9890,0,NC Medicaid / Health Choice
2 adults,2,0,9890,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9890,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9890,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9890,0,NC Medicaid / Health Choice
1 adult,1,0,9900,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9900,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9900,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9900,0,NC Medicaid / Health Choice
2 adults,2,0,9900,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9900,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9900,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9900,0,NC Medicaid / Health Choice
1 adult,1,0,9910,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9910,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9910,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9910,0,NC Medicaid / Health Choice
2 adults,2,0,9910,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9910,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9910,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9910,0,NC Medicaid / Health Choice
1 adult,1,0,9920,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9920,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9920,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9920,0,NC Medicaid / Health Choice
2 adults,2,0,9920,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9920,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9920,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9920,0,NC Medicaid / Health Choice
1 adult,1,0,9930,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9930,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9930,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9930,0,NC Medicaid / Health Choice
2 adults,2,0,9930,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9930,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9930,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9930,0,NC Medicaid / Health Choice
1 adult,1,0,9940,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9940,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9940,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9940,0,NC Medicaid / Health Choice
2 adults,2,0,9940,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9940,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9940,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9940,0,NC Medicaid / Health Choice
1 adult,1,0,9950,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9950,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9950,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9950,0,NC Medicaid / Health Choice
2 adults,2,0,9950,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9950,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9950,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9950,0,NC Medicaid / Health Choice
1 adult,1,0,9960,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9960,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9960,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9960,0,NC Medicaid / Health Choice
2 adults,2,0,9960,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9960,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9960,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9960,0,NC Medicaid / Health Choice
1 adult,1,0,9970,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9970,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9970,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9970,0,NC Medicaid / Health Choice
2 adults,2,0,9970,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9970,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9970,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9970,0,NC Medicaid / Health Choice
1 adult,1,0,9980,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9980,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9980,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9980,0,NC Medicaid / Health Choice
2 adults,2,0,9980,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9980,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9980,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9980,0,NC Medicaid / Health Choice
1 adult,1,0,9990,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,9990,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,9990,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,9990,0,NC Medicaid / Health Choice
2 adults,2,0,9990,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,9990,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,9990,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,9990,0,NC Medicaid / Health Choice
1 adult,1,0,10000,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,10000,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,10000,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,10000,0,NC Medicaid / Health Choice
2 adults,2,0,10000,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,10000,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,10000,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,10000,0,NC Medicaid / Health Choice
1 adult,1,0,10010,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,10010,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,10010,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,10010,0,NC Medicaid / Health Choice
2 adults,2,0,10010,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,10010,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,10010,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,10010,0,NC Medicaid / Health Choice
1 adult,1,0,10020,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,10020,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,10020,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,10020,0,NC Medicaid / Health Choice
2 adults,2,0,10020,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,10020,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,10020,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,10020,0,NC Medicaid / Health Choice
1 adult,1,0,10030,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,10030,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,10030,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,10030,0,NC Medicaid / Health Choice
2 adults,2,0,10030,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,10030,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,10030,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,10030,0,NC Medicaid / Health Choice
1 adult,1,0,10040,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,10040,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,10040,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,10040,0,NC Medicaid / Health Choice
